Dissolved oxygen,pH,Conductivity,Nitrate,Fecal coliform,Total coliform,Biological oxygen demand,WQI
6.7,7.1,38.2,0.29,90.0,1300.0,3.0,3
6.3,7.3,46.0,0.17,2200.0,11000.0,2.0,4
7.2,7.2,56.3,0.14,230.0,3000.0,2.0,3
8.1,7.4,62.7,0.12,30.0,130.0,2.0,3
6.7,7.1,38.2,0.29,90.0,1300.0,3.0,3
5.7,7.1,135.3,0.28,3000.0,8000.0,2.0,4
6.1,6.6,137.2,0.52,2200.0,13000.0,2.0,4
7.2,7.1,121.8,0.83,500.0,11000.0,2.0,3
1.4,6.0,109.9,0.01,800.0,24000.0,4.0,4
5.7,6.73,135.3,0.28,3000.0,8000.0,2.0,4
7.2,7.66,121.8,0.83,500.0,11000.0,2.0,4
6.0,7.18,193.3,1.37,800.0,3000.0,2.0,4
5.3,7.6,209.2,0.41,1300.0,2400.0,3.0,4
3.3,6.41,168.6,0.09,280.0,3000.0,3.0,4
5.8,6.95,191.7,0.13,1300.0,5000.0,4.0,4
3.3,7.06,168.6,0.09,280.0,3000.0,3.0,4
5.8,7.6,191.7,0.13,1300.0,5000.0,4.0,4
5.3,7.77,209.2,0.41,1300.0,2400.0,3.0,4
6.0,7.58,193.3,1.37,800.0,3000.0,2.0,4
5.5,6.71,192.5,0.66,80.0,300.0,2.0,3
2.1,6.54,180.4,0.02,300.0,1700.0,4.0,4
6.2,6.97,135.6,0.61,5000.0,17000.0,2.0,4
7.0,7.88,368.0,0.53,500.0,500.0,2.0,4
5.5,7.52,192.5,0.66,80.0,300.0,2.0,3
2.1,6.96,180.4,0.02,300.0,1700.0,4.0,4
6.2,7.66,135.6,0.61,5000.0,17000.0,2.0,4
7.0,8.03,368.0,0.53,500.0,500.0,2.0,4
1.7,6.4,154.0,0.1,3000.0,14000.0,7.0,4
5.7,7.3,151.0,0.9,3000.0,3000.0,2.0,4
6.1,6.7,150.0,1.02,280.0,5000.0,2.0,3
5.0,6.7,206.0,1.77,220.0,2300.0,2.0,3
1.7,6.4,154.0,0.1,3000.0,14000.0,7.0,4
5.7,7.3,151.0,0.9,3000.0,3000.0,2.0,4
6.1,6.7,150.0,1.02,280.0,5000.0,2.0,3
5.0,6.7,206.0,1.77,220.0,2300.0,2.0,3
6.0,7.3,158.0,1.35,800.0,1700.0,2.0,4
4.2,7.4,164.0,1.59,50.0,1700.0,4.0,4
1.9,7.1,139.0,0.14,1700.0,11000.0,7.0,4
5.5,7.2,145.2,0.86,1100.0,8000.0,2.0,4
1.9,7.1,139.0,0.14,1700.0,11000.0,7.0,4
5.5,7.2,145.2,0.86,1100.0,8000.0,2.0,4
6.0,7.3,158.0,1.35,800.0,1700.0,2.0,4
4.2,7.4,164.0,1.59,50.0,1700.0,4.0,4
8.1,7.9,310.0,0.27,2.8,0.0,2.0,3
4.1,7.1,362.3,0.14,0.012,0.0,6.6,4
6.0,8.2,364.8,0.2,0.3,0.0,5.7,4
7.4,7.2,395.0,0.61,5000.0,13000.0,2.0,4
6.0,7.3,336.4,0.13,2400.0,5000.0,2.0,4
6.4,7.4,389.9,0.08,11000.0,30000.0,2.0,4
2.0,7.7,362.7,0.23,2300.0,3000.0,5.0,4
8.1,7.46,362.7,0.23,2300.0,3000.0,2.0,4
7.4,7.82,395.0,0.61,5000.0,13000.0,2.0,4
6.6,7.59,400.0,0.49,500.0,8000.0,2.0,4
7.0,7.7,406.3,0.13,1300.0,3000.0,3.0,4
6.3,7.63,407.3,0.25,1300.0,5000.0,2.0,4
6.6,7.75,36.4,0.54,1100.0,2200.0,2.0,4
6.6,8.01,400.0,0.49,500.0,8000.0,2.0,4
7.0,8.02,406.3,0.13,1300.0,3000.0,3.0,4
6.3,7.97,407.3,0.25,1300.0,5000.0,2.0,4
6.6,7.89,36.4,0.54,1100.0,2200.0,2.0,4
6.0,7.42,348.0,0.15,900.0,900.0,2.0,4
7.0,7.73,390.0,0.38,30000.0,50000.0,2.0,4
6.3,7.22,149.9,2.26,500.0,1700.0,3.0,4
6.5,7.47,389.0,0.16,800.0,1300.0,2.0,4
6.0,8.0,348.0,0.15,900.0,900.0,2.0,4
7.0,7.94,390.0,0.38,30000.0,50000.0,2.0,4
6.3,7.46,149.9,2.26,500.0,1700.0,3.0,4
6.5,7.97,389.0,0.16,800.0,1300.0,2.0,4
5.6,7.5,354.0,0.66,5000.0,8000.0,2.0,4
6.3,7.7,396.0,0.57,5000.0,11000.0,2.0,4
7.2,7.5,387.0,0.12,2300.0,5000.0,2.0,4
5.5,7.4,388.0,0.23,30.0,170.0,2.0,3
5.6,7.5,354.0,0.66,5000.0,8000.0,2.0,4
6.3,7.7,396.0,0.57,5000.0,11000.0,2.0,4
7.2,7.5,387.0,0.12,2300.0,5000.0,2.0,4
5.5,7.4,388.0,0.23,30.0,170.0,2.0,3
6.7,7.8,383.0,0.47,1700.0,5000.0,2.0,4
7.3,7.8,388.0,0.54,130.0,1700.0,2.0,3
6.3,8.1,363.0,0.39,800.0,1300.0,2.0,4
6.4,8.1,357.0,0.61,3000.0,7000.0,2.0,4
6.4,8.1,357.0,0.61,3000.0,7000.0,2.0,4
6.7,7.8,383.0,0.47,1700.0,5000.0,2.0,4
7.3,7.8,388.0,0.54,130.0,1700.0,2.0,3
6.3,8.1,363.0,0.39,800.0,1300.0,2.0,4
7.9,7.5,99.7,0.12,0.0,2.58,1.3,3
9.2,6.1,66.61,0.23,0.02,2.8,0.1,1
8.0,6.8,70.26,0.21,2.0,2400.0,0.6,2
8.0,7.8,68.57,0.44,20.0,110.0,2.2,3
6.56,6.8,26.51,0.24,0.0,0.0,3.4,3
8.52,8.0,78.76,0.78,130.0,220.0,2.18,3
7.37,7.9,70.47,0.1,3.0,1100.0,0.86,3
7.12,6.8,81.52,0.09,360.0,1500.0,3.24,3
6.5,6.6,46.08,0.1,0.0,2600.0,3.4,3
7.56,7.0,70.53,0.06,93.0,93.0,3.1,3
7.0,7.77,76.4,0.15,20.0,130.0,2.37,3
7.4,7.61,69.7,0.15,130.0,300.0,1.67,3
5.9,7.5,88.4,0.17,30.0,170.0,2.0,3
6.3,7.7,81.3,0.33,14.0,900.0,2.0,3
5.9,8.14,88.4,0.17,30.0,170.0,2.0,4
7.2,7.2,49.1,0.17,300.0,500.0,2.0,3
7.2,7.1,53.0,0.08,2400.0,3000.0,2.0,4
7.1,7.2,78.5,0.28,80.0,300.0,3.0,3
5.9,7.2,64.8,0.18,300.0,2200.0,2.0,3
5.2,7.1,73.6,0.12,130.0,3000.0,5.0,4
5.7,7.6,35.0,0.08,160000.0,160000.0,2.0,4
7.5,7.4,87.7,0.07,30.0,240.0,2.0,3
7.1,7.2,70.7,0.04,80.0,900.0,2.0,3
7.0,7.2,85.6,0.12,170.0,170.0,3.0,3
5.6,6.1,42.0,0.01,300.0,1700.0,2.0,3
7.6,6.9,66.5,0.16,2800.0,3000.0,2.0,4
7.2,7.3,83.0,0.1,500.0,800.0,2.0,3
7.3,7.5,79.4,0.12,500.0,2400.0,4.0,4
7.6,6.28,66.5,0.16,2800.0,3000.0,2.0,4
7.2,7.14,83.0,0.1,500.0,800.0,2.0,3
8.0,7.55,72.9,0.11,50.0,240.0,2.0,3
7.2,7.26,77.6,0.14,220.0,280.0,2.0,3
6.6,6.5,53.9,0.16,300.0,5000.0,2.0,3
6.6,7.27,53.9,0.16,300.0,5000.0,2.0,3
7.2,8.11,77.6,0.14,220.0,280.0,2.0,4
8.0,7.57,72.9,0.11,50.0,240.0,2.0,3
7.2,7.33,74.3,0.16,23.0,500.0,2.0,3
8.1,7.15,99.3,0.02,30.0,110.0,3.0,3
5.9,6.67,51.3,0.19,220.0,1300.0,3.0,3
7.2,7.01,73.5,0.16,80.0,3000.0,2.0,3
5.9,7.27,51.3,0.19,220.0,1300.0,3.0,4
7.2,7.84,73.5,0.16,80.0,3000.0,2.0,3
7.2,7.55,74.3,0.16,23.0,500.0,2.0,3
8.1,7.79,99.3,0.02,30.0,110.0,3.0,3
4.1,6.5,35.9,0.1,500.0,5000.0,2.0,3
6.7,7.1,67.9,0.14,80.0,170.0,2.0,3
7.1,7.1,79.5,0.13,140.0,1300.0,2.0,3
6.4,7.0,87.1,0.16,30.0,40.0,2.0,3
4.1,6.5,35.9,0.1,500.0,5000.0,2.0,3
6.7,7.1,67.9,0.14,80.0,170.0,2.0,3
7.1,7.1,79.5,0.13,140.0,1300.0,2.0,3
6.4,7.0,87.1,0.16,30.0,40.0,2.0,3
7.0,7.2,52.4,0.31,140.0,350.0,2.0,3
5.5,7.2,51.3,0.17,110.0,1300.0,2.0,3
7.0,7.0,59.6,0.18,70.0,500.0,2.0,3
8.0,7.4,75.8,0.23,21.0,140.0,2.0,3
5.5,7.2,51.3,0.17,110.0,1300.0,2.0,3
7.0,7.0,59.6,0.18,70.0,500.0,2.0,3
8.0,7.4,75.8,0.23,21.0,140.0,2.0,3
7.0,7.2,52.4,0.31,140.0,350.0,2.0,3
6.3,8.2,77.1,0.27,13.0,240.0,4.0,4
6.2,7.5,95.5,0.38,900.0,900.0,2.0,4
6.2,8.08,95.5,0.38,900.0,900.0,2.0,4
6.1,7.2,71.4,0.11,80.0,800.0,4.0,4
6.7,7.3,71.4,0.21,800.0,3000.0,2.0,4
7.2,7.2,50.0,0.17,220.0,1300.0,2.0,3
7.1,7.1,52.0,0.13,70.0,800.0,2.0,3
7.1,7.3,81.7,0.46,90.0,280.0,2.0,3
7.2,7.4,67.3,0.04,120.0,220.0,2.0,3
7.9,7.4,81.7,0.09,300.0,300.0,2.0,3
6.5,7.5,87.7,0.17,240.0,300.0,2.0,3
5.9,7.7,68.7,0.11,350.0,13000.0,2.0,4
8.1,7.1,64.5,0.32,600.0,2.2,2.0,3
7.2,7.3,78.2,0.18,50.0,80.0,2.0,3
8.1,8.2,69.4,0.14,80.0,170.0,3.0,4
8.1,6.69,64.5,0.32,600.0,2200.0,2.0,3
7.2,7.46,76.2,0.18,50.0,80.0,2.0,3
6.9,7.19,62.1,0.32,500.0,3.0,2.0,3
7.8,7.55,76.9,0.29,50.0,300.0,2.0,3
8.3,8.07,90.6,0.16,23.0,240.0,2.0,3
6.9,7.47,62.1,0.32,500.0,3000.0,2.0,3
7.8,8.15,76.9,0.29,50.0,300.0,2.0,3
8.3,7.98,90.6,0.16,23.0,240.0,2.0,3
7.1,6.94,52.5,0.26,13000.0,2.3,2.0,4
7.5,7.32,73.7,0.24,230.0,300.0,2.0,3
7.0,7.47,77.5,0.35,50.0,500.0,2.0,3
8.3,7.65,93.8,0.1,80.0,220.0,3.0,3
7.0,7.52,77.5,0.35,50.0,500.0,2.0,3
8.3,8.04,93.8,0.1,80.0,220.0,3.0,4
7.1,7.25,52.5,0.26,1300.0,2300.0,2.0,4
7.5,7.91,73.7,0.24,230.0,300.0,2.0,3
5.0,6.6,50.6,1.89,1700.0,8000.0,2.0,4
7.4,7.1,70.5,0.27,90.0,90.0,2.0,3
7.5,7.3,67.8,0.29,110.0,800.0,2.0,3
7.1,7.0,84.6,0.36,40.0,90.0,2.0,3
5.9,7.3,52.8,0.29,300.0,1.7,2.0,3
7.5,7.3,61.5,0.29,30.0,140.0,3.0,3
0.5,7.6,74.2,0.24,30.0,70.0,2.0,4
8.0,7.6,56.4,0.52,70.0,900.0,2.0,3
5.9,7.4,72.0,0.58,800.0,130.0,2.0,4
6.7,7.9,65.0,0.66,90.0,350.0,5.0,4
5.9,7.69,72.0,0.58,800.0,130.0,2.0,4
6.1,7.3,60.7,0.58,1400.0,9000.0,3.0,4
7.1,7.1,51.0,1.87,230.0,230.0,2.0,3
7.1,7.1,51.0,0.25,80.0,700.0,2.0,3
6.3,7.2,63.7,0.27,110.0,13000.0,4.0,4
7.1,7.3,80.2,0.66,80.0,300.0,5.0,4
7.6,7.4,87.3,0.21,170.0,280.0,3.0,3
7.7,7.1,75.3,0.14,1300.0,2400.0,2.0,4
6.5,7.6,64.0,0.13,5000.0,5000.0,2.0,4
6.9,7.3,61.0,0.1,220.0,900.0,2.0,3
7.7,6.9,59.1,0.35,500.0,700.0,3.0,3
8.8,8.0,66.0,0.19,50.0,110.0,5.0,4
7.1,7.2,66.7,0.24,300.0,1700.0,2.0,3
6.0,6.4,46.1,0.02,800.0,2400.0,2.0,3
7.7,6.28,59.1,0.35,500.0,700.0,3.0,3
7.1,7.26,66.7,0.24,300.0,1700.0,2.0,3
6.7,7.1,70.3,0.2,1700.0,2200.0,3.0,4
9.4,8.48,95.6,0.35,30.0,240.0,3.0,4
7.6,7.41,72.0,0.22,80.0,240.0,3.0,3
6.7,7.4,70.3,0.2,1700.0,2200.0,3.0,4
7.6,7.96,72.0,0.22,80.0,240.0,3.0,4
9.4,8.26,95.6,0.35,30.0,240.0,3.0,3
7.0,6.98,53.9,0.32,800.0,5000.0,2.0,3
7.4,7.37,69.8,0.19,300.0,800.0,2.0,3
7.4,7.1,63.3,0.68,70.0,500.0,2.0,3
8.5,7.5,84.5,0.11,23.0,40.0,3.0,3
7.0,7.18,53.9,0.32,800.0,5000.0,2.0,4
7.4,7.95,69.8,0.19,300.0,800.0,2.0,4
7.4,7.27,63.3,0.68,70.0,500.0,2.0,3
8.5,7.96,84.5,0.11,23.0,40.0,3.0,3
6.6,7.1,65.4,0.59,30.0,800.0,2.0,3
5.7,6.6,48.9,0.32,7000.0,160000.0,2.0,4
6.8,7.2,61.9,0.55,50.0,140.0,2.0,3
6.8,6.9,81.9,0.56,30.0,40.0,2.0,3
6.8,7.2,61.9,0.55,50.0,140.0,2.0,3
6.6,7.1,65.4,0.59,30.0,800.0,2.0,3
6.8,6.9,81.9,0.56,30.0,40.0,2.0,3
5.7,6.6,48.9,0.32,7000.0,160000.0,2.0,4
6.2,7.3,50.8,0.36,800.0,3000.0,2.0,4
8.1,7.3,64.2,0.5,50.0,140.0,2.0,3
8.5,7.5,66.6,0.38,50.0,90.0,2.0,3
7.6,7.5,65.9,0.59,23.0,60.0,2.0,3
6.2,7.3,50.8,0.36,800.0,3000.0,2.0,4
8.1,7.3,64.2,0.5,50.0,140.0,2.0,3
8.5,7.5,66.6,0.38,50.0,90.0,2.0,3
7.6,7.5,65.9,0.59,23.0,60.0,2.0,3
7.4,7.1,62.9,0.29,60.0,280.0,2.0,3
7.6,7.5,78.1,0.49,2.0,2.0,2.0,3
6.0,7.1,63.8,0.39,3000.0,5000.0,2.0,4
6.1,7.2,53.1,0.26,3000.0,5000.0,2.0,4
6.4,7.2,59.3,0.17,800.0,2800.0,2.0,4
6.4,7.2,24.2,0.1,500.0,900.0,2.0,3
5.7,7.3,27.3,0.21,230.0,3000.0,2.0,3
6.4,7.23,24.2,0.1,500.0,900.0,2.0,3
6.2,7.0,33.1,0.22,500.0,5000.0,4.0,4
6.5,7.1,25.5,0.17,1400.0,5000.0,2.0,4
7.0,6.8,56.2,0.06,30000.0,30000.0,2.0,4
7.3,6.8,50.9,0.06,1700.0,8000.0,2.0,4
5.7,6.8,27.0,0.25,1300.0,1700.0,2.0,4
5.7,8.0,25.0,0.08,140.0,3000.0,2.0,4
6.7,7.2,22.9,0.03,800.0,1100.0,2.0,4
7.8,6.8,40.9,0.14,30.0,220.0,2.0,2
7.4,6.8,33.5,0.09,350.0,3000.0,2.0,3
7.2,6.2,14.3,0.02,24000.0,24000.0,2.0,4
8.2,6.7,22.1,0.15,1700.0,5000.0,2.0,4
7.2,7.3,26.5,0.09,220.0,220.0,2.0,3
7.7,6.4,27.0,0.1,500.0,1100.0,2.0,3
7.2,7.19,26.5,0.09,220.0,220.0,2.0,3
8.2,7.31,22.1,0.15,1700.0,5000.0,2.0,4
7.1,6.35,22.2,0.11,1700.0,5000.0,2.0,4
7.9,6.67,24.1,0.15,500.0,1100.0,2.0,3
8.5,7.01,26.7,0.13,500.0,2400.0,2.0,3
7.1,7.24,22.2,0.11,1700.0,5000.0,2.0,4
7.9,8.07,24.1,0.15,500.0,1100.0,2.0,4
8.5,7.57,26.7,0.13,500.0,2400.0,2.0,3
6.6,6.9,20.2,0.13,1700.0,17000.0,2.0,4
7.8,6.87,24.9,0.08,1100.0,3000.0,2.0,3
7.4,6.87,22.0,0.14,2200.0,2800.0,2.0,4
7.9,6.26,29.7,0.2,1700.0,1700.0,2.0,4
6.6,7.19,20.2,0.13,1700.0,17000.0,2.0,4
7.8,7.61,24.9,0.08,1100.0,3000.0,2.0,4
7.4,7.37,22.0,0.14,2200.0,2800.0,2.0,4
7.9,7.61,29.7,0.2,1700.0,1700.0,2.0,4
6.5,5.9,11.3,0.12,90000.0,90000.0,2.0,4
8.0,8.0,24.9,0.11,500.0,800.0,2.0,4
7.5,7.1,22.8,0.18,2300.0,3000.0,2.0,4
7.7,6.1,30.5,0.2,140.0,220.0,2.0,2
6.9,6.7,22.1,0.09,24000.0,24000.0,2.0,4
7.5,6.5,17.0,0.14,1300.0,2300.0,2.0,3
8.6,6.4,22.8,0.12,350.0,2200.0,2.0,2
8.1,7.1,23.1,0.18,40.0,280.0,2.0,3
8.0,6.9,21.3,0.11,110.0,110.0,2.0,3
7.5,6.5,20.2,0.12,2800.0,24000.0,2.0,4
6.6,7.6,21.9,0.14,2300.0,2300.0,2.0,4
7.6,7.1,17.0,0.21,24000.0,24000.0,2.0,4
7.1,6.9,23.7,0.04,1300.0,2300.0,2.0,4
6.1,7.2,41.6,0.12,5000.0,5000.0,2.0,4
6.1,7.47,41.6,0.12,5000.0,5000.0,2.0,4
6.2,7.0,45.1,0.19,17000.0,50000.0,5.0,4
6.7,6.9,40.0,0.17,2800.0,2800.0,2.0,4
7.0,6.9,52.0,0.14,1700.0,16000.0,2.0,4
7.3,6.9,63.0,0.1,300.0,1400.0,2.0,3
7.0,6.9,44.3,0.35,2400.0,8000.0,4.0,4
6.2,7.4,40.0,0.1,350.0,11000.0,2.0,4
7.3,7.4,39.0,0.05,8000.0,14000.0,2.0,4
7.1,6.6,28.1,0.18,280.0,350.0,2.0,3
7.2,6.9,45.3,0.16,2200.0,5000.0,2.0,4
6.3,6.1,31.2,0.04,13000.0,24000.0,2.0,4
8.1,6.4,35.6,0.1,8000.0,11000.0,2.0,4
7.4,7.2,38.7,0.18,1300.0,2400.0,2.0,4
7.9,6.5,42.6,0.2,1300.0,8000.0,2.0,3
8.1,6.41,35.6,0.1,8000.0,11000.0,2.0,4
7.4,7.17,38.7,0.18,1300.0,2400.0,2.0,4
6.9,6.49,41.4,0.17,3000.0,3000.0,3.0,4
7.7,6.7,36.2,0.27,1100.0,11000.0,2.0,3
8.6,7.07,43.8,0.25,500.0,2400.0,2.0,3
6.9,7.54,41.4,0.17,3000.0,3000.0,3.0,4
7.7,7.61,36.2,0.27,1100.0,11000.0,2.0,4
8.6,7.53,43.8,0.25,500.0,2400.0,2.0,3
6.6,6.48,35.1,0.16,11000.0,50000.0,2.0,4
7.5,6.85,37.6,0.16,500.0,2800.0,2.0,3
8.2,7.05,34.5,0.29,170.0,13000.0,2.0,3
8.1,6.45,51.1,0.34,110.0,140.0,2.0,2
6.6,7.0,35.1,0.16,11000.0,50000.0,2.0,4
7.5,7.8,37.6,0.16,500.0,2800.0,2.0,4
8.2,7.04,34.5,0.29,170.0,1300.0,2.0,3
8.1,7.51,51.1,0.34,110.0,140.0,2.0,3
5.5,6.1,34.9,0.19,17000.0,50000.0,2.0,4
7.7,7.3,42.9,0.03,800.0,1700.0,2.0,3
8.1,6.4,36.2,0.25,300.0,700.0,2.0,2
7.7,6.5,48.9,0.35,110.0,170.0,2.0,2
6.1,7.1,36.2,0.18,3000.0,5000.0,2.0,4
7.4,6.8,30.5,0.18,1100.0,11000.0,2.0,4
8.5,6.6,34.9,0.24,50.0,170.0,2.0,2
8.1,7.3,41.5,0.27,40.0,60.0,2.0,3
8.1,7.3,34.5,0.19,170.0,350.0,2.0,3
6.8,6.8,32.6,0.17,3000.0,6000.0,2.0,4
6.2,7.0,35.9,0.17,5000.0,8000.0,2.0,4
7.5,7.3,30.5,0.17,2300.0,3000.0,2.0,4
6.7,7.0,40.8,0.04,3000.0,11000.0,2.0,4
6.1,6.2,51.0,0.03,700.0,1700.0,2.0,3
7.2,6.3,49.6,0.44,130.0,3000.0,2.0,2
7.3,7.3,58.1,0.4,130.0,500.0,2.0,3
5.1,6.0,82.0,0.31,220.0,8000.0,3.0,3
7.2,6.36,49.6,0.44,130.0,3000.0,2.0,2
7.3,6.91,58.1,0.4,130.0,500.0,2.0,3
7.2,6.36,49.6,0.44,130.0,3000.0,2.0,2
7.2,6.3,49.6,0.44,130.0,3000.0,2.0,2
4.8,6.35,67.0,0.59,13000.0,24000.0,3.0,4
6.1,6.62,78.1,0.24,1300.0,3000.0,6.0,4
4.6,6.3,76.1,0.51,300.0,500.0,2.0,3
4.6,6.93,76.1,0.51,300.0,500.0,2.0,3
4.8,7.2,67.0,0.59,13000.0,24000.0,3.0,4
6.1,7.26,78.1,0.24,1300.0,3000.0,6.0,4
6.2,6.49,59.2,0.17,220.0,800.0,2.0,3
7.1,6.51,60.3,0.49,50.0,300.0,2.0,2
5.2,6.73,62.7,0.2,240.0,500.0,2.0,3
5.2,7.09,62.7,0.2,240.0,500.0,2.0,3
6.2,7.51,59.2,0.17,220.0,800.0,2.0,3
7.1,7.17,60.3,0.49,50.0,300.0,2.0,3
4.8,5.9,30.8,0.23,50000.0,90000.0,9.0,4
6.3,6.8,59.0,0.02,400.0,800.0,2.0,3
6.8,6.6,52.6,0.53,80.0,280.0,2.0,3
0.5,6.2,84.5,0.11,220.0,220.0,2.0,4
4.8,5.9,30.8,0.23,50000.0,90000.0,9.0,4
6.3,6.8,59.0,0.02,400.0,800.0,2.0,3
6.8,6.6,52.6,0.53,80.0,280.0,2.0,3
0.5,6.2,84.5,0.11,220.0,220.0,2.0,4
7.3,6.4,54.7,0.35,30.0,130.0,2.0,2
2.5,6.8,86.1,0.28,140.0,350.0,2.0,4
2.2,6.7,65.4,0.07,140.0,800.0,2.0,4
