index,Dissolved oxygen,pH,Conductivity,Nitrate,Fecal coliform,Total coliform,Biological oxygen demand,WQI
53,6.3,7.3,58.9,0.23,300.0,13000.0,3.0,81.24842515752752
54,7.3,6.9,63.0,0.12,170.0,500.0,2.0,54.98819782642237
55,6.8,6.9,62.3,0.37,300.0,800.0,7.0,104.624747911978
56,6.0,7.2,75.6,0.14,800.0,3000.0,2.0,80.94985594171595
57,6.5,7.1,55.9,0.115,800.0,13000.0,2.0,79.01461747384138
58,7.2,6.9,55.2,0.07,7.0,280.0,2.0,51.806176184838236
59,5.9,6.7,59.1,0.05,140.0,2400.0,2.0,58.000139723902045
60,6.9,7.1,61.7,0.02,300.0,1100.0,2.0,63.38249360149343
61,7.8,7.2,67.8,0.08,50.0,500.0,2.0,55.130914644746994
62,6.3,7.2,78.0,0.2,300.0,500.0,2.0,67.89525985049981
63,7.7,6.9,61.0,0.33,1100.0,5000.0,2.0,74.66336833680477
64,7.5,7.42,73.9,0.1,80.0,1100.0,2.0,61.19298143783255
65,6.1,6.8,29.1,0.04,8000.0,24000.0,2.0,237.49018406135298
66,7.7,7.2,61.0,0.33,1100.0,5000.0,2.0,79.8704963164391
67,7.5,7.2,73.9,0.1,80.0,1100.0,2.0,57.37442091943403
68,7.3,6.8,66.7,0.04,130.0,280.0,2.0,52.310666085441625
69,7.2,7.71,57.4,0.18,500.0,800.0,2.0,76.9032424182204
70,6.8,6.2,36.6,0.11,1300.0,8000.0,2.0,71.9037681844201
71,7.7,7.69,69.3,0.13,50.0,500.0,2.0,64.12277991527169
72,7.7,7.33,69.3,0.13,50.0,500.0,2.0,57.87422633971047
73,7.2,7.02,57.4,0.18,500.0,800.0,2.0,64.92684806506142
74,6.8,6.83,36.6,0.11,1300.0,800.0,2.0,81.24535577988411
75,7.2,7.75,77.3,0.07,3500.0,3500.0,2.0,144.57830835910346
76,6.5,7.17,41.8,0.05,1400.0,13000.0,3.0,102.34968399329419
77,7.1,7.38,64.3,0.1,80.0,800.0,2.0,62.35455570103651
78,7.5,7.3,58.3,0.15,90.0,1100.0,2.0,59.33344512936485
79,6.5,6.81,41.8,0.05,1400.0,13000.0,3.0,96.10113041773296
80,7.1,7.07,64.3,0.1,80.0,800.0,2.0,56.973856788747696
81,7.5,7.31,58.3,0.15,90.0,1100.0,2.0,59.50701606201932
82,7.2,6.83,77.3,0.07,3500.0,3500.0,2.0,128.60978255489147
83,7.8,6.8,64.9,0.18,30.0,50.0,2.0,47.65617189936911
84,6.8,6.9,68.2,0.13,30.0,70.0,2.0,54.20250677373842
85,4.7,6.5,57.5,0.25,800.0,2300.0,2.0,74.90720790681281
86,6.6,7.4,64.5,0.15,170.0,500.0,2.0,67.03800839722757
87,4.7,6.5,57.5,0.25,800.0,2300.0,2.0,74.90720790681281
88,6.6,7.4,64.5,0.15,170.0,500.0,2.0,67.03800839722757
89,7.8,6.8,64.9,0.18,30.0,50.0,2.0,47.65617189936911
90,6.8,6.9,68.2,0.13,30.0,70.0,2.0,54.20250677373842
91,6.3,7.3,46.0,0.17,2200.0,11000.0,2.0,113.9918482173902
92,7.2,7.2,56.3,0.14,230.0,3000.0,2.0,62.55819711299274
93,8.1,7.4,62.7,0.12,30.0,130.0,2.0,56.63780806534653
94,6.7,7.1,38.2,0.29,90.0,1300.0,3.0,68.61800316424561
95,6.3,7.3,46.0,0.17,2200.0,11000.0,2.0,113.9918482173902
96,7.2,7.2,56.3,0.14,230.0,3000.0,2.0,62.55819711299274
97,8.1,7.4,62.7,0.12,30.0,130.0,2.0,56.63780806534653
98,6.7,7.1,38.2,0.29,90.0,1300.0,3.0,68.61800316424561
99,5.7,7.1,135.3,0.28,3000.0,8000.0,2.0,130.47909970001015
100,6.1,6.6,137.2,0.52,2200.0,13000.0,2.0,103.30510822049823
101,7.2,7.1,121.8,0.83,500.0,11000.0,2.0,68.6579929260761
102,1.4,6.0,109.9,0.01,800.0,24000.0,4.0,104.59661837775182
103,5.7,6.73,135.3,0.28,3000.0,8000.0,2.0,124.05697519179449
104,7.2,7.66,121.8,0.83,500.0,11000.0,2.0,78.3779651547269
105,6.0,7.18,193.3,1.37,800.0,3000.0,2.0,80.76318247685441
106,5.3,7.6,209.2,0.41,1300.0,2400.0,3.0,111.10390255934674
107,3.3,6.41,168.6,0.09,280.0,3000.0,3.0,77.58675423613697
108,5.8,6.95,191.7,0.13,1300.0,5000.0,4.0,106.80935770020473
109,3.3,7.06,168.6,0.09,280.0,3000.0,3.0,88.86886485867804
110,5.8,7.6,191.7,0.13,1300.0,5000.0,4.0,118.09146832274581
111,5.3,7.77,209.2,0.41,1300.0,2400.0,3.0,114.05460841447288
112,6.0,7.58,193.3,1.37,800.0,3000.0,2.0,87.70601978303354
113,5.5,6.71,192.5,0.66,80.0,300.0,2.0,58.401716140671276
114,2.1,6.54,180.4,0.02,300.0,1700.0,4.0,94.61828753129029
115,6.2,6.97,135.6,0.61,5000.0,17000.0,2.0,172.10565569843715
116,7.0,7.88,368.0,0.53,500.0,500.0,2.0,80.85673066710491
117,5.5,7.52,192.5,0.66,80.0,300.0,2.0,72.46096168568401
118,2.1,6.96,180.4,0.02,300.0,1700.0,4.0,101.90826670277838
119,6.2,7.66,135.6,0.61,5000.0,17000.0,2.0,184.08205005159616
120,7.0,8.03,368.0,0.53,500.0,500.0,2.0,83.46029465692207
121,1.7,6.4,154.0,0.1,3000.0,14000.0,7.0,183.14574070626878
122,5.7,7.3,151.0,0.9,3000.0,3000.0,2.0,132.91523506283772
123,6.1,6.7,150.0,1.02,280.0,5000.0,2.0,60.83770509879289
124,5.0,6.7,206.0,1.77,220.0,2300.0,2.0,64.29875334983515
125,1.7,6.4,154.0,0.1,3000.0,14000.0,7.0,183.14574070626878
126,5.7,7.3,151.0,0.9,3000.0,3000.0,2.0,132.91523506283772
127,6.1,6.7,150.0,1.02,280.0,5000.0,2.0,60.83770509879289
128,5.0,6.7,206.0,1.77,220.0,2300.0,2.0,64.29875334983515
129,6.0,7.3,158.0,1.35,800.0,1700.0,2.0,82.5483421460411
130,4.2,7.4,164.0,1.59,50.0,1700.0,4.0,94.07780270938358
131,1.9,7.1,139.0,0.14,1700.0,11000.0,7.0,164.9012802673048
132,5.5,7.2,145.2,0.86,1100.0,8000.0,2.0,91.19501371517822
133,1.9,7.1,139.0,0.14,1700.0,11000.0,7.0,164.9012802673048
134,5.5,7.2,145.2,0.86,1100.0,8000.0,2.0,91.19501371517822
135,6.0,7.3,158.0,1.35,800.0,1700.0,2.0,82.5483421460411
136,4.2,7.4,164.0,1.59,50.0,1700.0,4.0,94.07780270938358
137,8.1,7.9,310.0,0.27,2.8,0.0,2.0,64.75676234869144
138,4.1,7.1,362.3,0.14,0.012,0.0,6.6,110.77023015687345
139,6.0,8.2,364.8,0.2,0.3,0.0,5.7,112.76883727319786
140,7.4,7.2,395.0,0.61,5000.0,13000.0,2.0,169.49686122403003
141,6.0,7.3,336.4,0.13,2400.0,5000.0,2.0,118.59326436054904
142,6.4,7.4,389.9,0.08,11000.0,30000.0,2.0,314.2640768744543
143,2.0,7.7,362.7,0.23,2300.0,3000.0,5.0,168.6973017385323
144,8.1,7.46,362.7,0.23,2300.0,3000.0,2.0,108.62855255607656
145,7.4,7.82,395.0,0.61,5000.0,13000.0,2.0,180.2582590486077
146,6.6,7.59,400.0,0.49,500.0,8000.0,2.0,79.41002932538206
147,7.0,7.7,406.3,0.13,1300.0,3000.0,3.0,104.8068256650478
148,6.3,7.63,407.3,0.25,1300.0,5000.0,2.0,98.56330642215246
149,6.6,7.75,36.4,0.54,1100.0,2200.0,2.0,94.10678207037421
150,6.6,8.01,400.0,0.49,500.0,8000.0,2.0,86.70000849687011
151,7.0,8.02,406.3,0.13,1300.0,3000.0,3.0,110.36109550999107
152,6.3,7.97,407.3,0.25,1300.0,5000.0,2.0,104.46471813240473
153,6.6,7.89,36.4,0.54,1100.0,2200.0,2.0,96.5367751275369
154,6.0,7.42,348.0,0.15,900.0,900.0,2.0,86.57808545391734
155,7.0,7.73,390.0,0.38,30000.0,50000.0,2.0,742.0398084654541
156,6.3,7.22,149.9,2.26,500.0,1700.0,3.0,82.0271812003674
157,6.5,7.47,389.0,0.16,800.0,1300.0,2.0,82.92613144630147
158,6.0,8.0,348.0,0.15,900.0,900.0,2.0,96.64519954787708
159,7.0,7.94,390.0,0.38,30000.0,50000.0,2.0,745.6847980511982
160,6.3,7.46,149.9,2.26,500.0,1700.0,3.0,86.19288358407488
161,6.5,7.97,389.0,0.16,800.0,1300.0,2.0,91.60467807902538
162,5.6,7.5,354.0,0.66,5000.0,8000.0,2.0,182.25354558459026
163,6.3,7.7,396.0,0.57,5000.0,11000.0,2.0,183.02067867073174
164,7.2,7.5,387.0,0.12,2300.0,5000.0,2.0,114.08863854566006
165,5.5,7.4,388.0,0.23,30.0,170.0,2.0,69.23909841779336
166,5.6,7.5,354.0,0.66,5000.0,8000.0,2.0,182.25354558459026
167,6.3,7.7,396.0,0.57,5000.0,11000.0,2.0,183.02067867073174
168,7.2,7.5,387.0,0.12,2300.0,5000.0,2.0,114.08863854566006
169,5.5,7.4,388.0,0.23,30.0,170.0,2.0,69.23909841779336
170,6.7,7.8,383.0,0.47,1700.0,5000.0,2.0,108.46042158590727
171,7.3,7.8,388.0,0.54,130.0,1700.0,2.0,70.10775685982512
172,6.3,8.1,363.0,0.39,800.0,1300.0,2.0,94.84266866147465
173,6.4,8.1,357.0,0.61,3000.0,7000.0,2.0,144.33236364899207
174,6.4,8.1,357.0,0.61,3000.0,7000.0,2.0,144.33236364899207
175,6.7,7.8,383.0,0.47,1700.0,5000.0,2.0,108.46042158590727
176,7.3,7.8,388.0,0.54,130.0,1700.0,2.0,70.10775685982512
177,6.3,8.1,363.0,0.39,800.0,1300.0,2.0,94.84266866147465
178,7.9,7.5,99.7,0.12,0.0,2.58,1.3,52.45530275885547
179,9.2,6.1,66.61,0.23,0.02,2.8,0.1,11.28380738398977
180,8.0,6.8,70.26,0.21,2.0,2400.0,0.6,34.20589903915492
181,8.0,7.8,68.57,0.44,20.0,110.0,2.2,65.64270360953472
182,6.56,6.8,26.51,0.24,0.0,0.0,3.4,65.33778132053939
183,8.52,8.0,78.76,0.78,130.0,220.0,2.18,68.93348227983326
184,7.37,7.9,70.47,0.1,3.0,1100.0,0.86,58.3536018300274
185,7.12,6.8,81.52,0.09,360.0,1500.0,3.24,69.52196105470755
186,6.5,6.6,46.08,0.1,0.0,2600.0,3.4,62.719437258999136
187,7.56,7.0,70.53,0.06,93.0,93.0,3.1,63.41140013487385
188,7.0,7.77,76.4,0.15,20.0,130.0,2.37,71.4122503513344
189,7.4,7.61,69.7,0.15,130.0,300.0,1.67,62.984730849759686
190,5.9,7.5,88.4,0.17,30.0,170.0,2.0,68.97757487587303
191,6.3,7.7,81.3,0.33,14.0,900.0,2.0,70.34800100159653
192,5.9,8.14,88.4,0.17,30.0,170.0,2.0,80.08611456575964
193,7.2,7.2,49.1,0.17,300.0,500.0,2.0,63.555745519997274
194,7.2,7.1,53.0,0.08,2400.0,3000.0,2.0,108.83793815480402
195,7.1,7.2,78.5,0.28,80.0,300.0,3.0,67.99455888317028
196,5.9,7.2,64.8,0.18,300.0,2200.0,2.0,70.1907413239689
197,5.2,7.1,73.6,0.12,130.0,3000.0,5.0,94.78932084293423
198,5.7,7.6,35.0,0.08,160000.0,160000.0,2.0,3647.207783726984
199,7.5,7.4,87.7,0.07,30.0,240.0,2.0,59.54877976769448
200,7.1,7.2,70.7,0.04,80.0,900.0,2.0,59.24726842185731
201,7.0,7.2,85.6,0.12,170.0,170.0,3.0,70.4226948857786
202,5.6,6.1,42.0,0.01,300.0,1700.0,2.0,52.406943074883145
203,7.6,6.9,66.5,0.16,2800.0,3000.0,2.0,112.30599410515661
204,7.2,7.3,83.0,0.1,500.0,800.0,2.0,69.78375670246533
205,7.3,7.5,79.4,0.12,500.0,2400.0,4.0,90.83379086044226
206,7.6,6.28,66.5,0.16,2800.0,3000.0,2.0,101.54459628057896
207,7.2,7.14,83.0,0.1,500.0,800.0,2.0,67.00662177999367
208,8.0,7.55,72.9,0.11,50.0,240.0,2.0,60.19057903864065
209,7.2,7.26,77.6,0.14,220.0,280.0,2.0,62.78108952794297
210,6.6,6.5,53.9,0.16,300.0,5000.0,2.0,55.28817293604316
211,6.6,7.27,53.9,0.16,300.0,5000.0,2.0,68.65313475043799
212,7.2,8.11,77.6,0.14,220.0,280.0,2.0,77.5346188035736
213,8.0,7.57,72.9,0.11,50.0,240.0,2.0,60.53772090394961
214,7.2,7.33,74.3,0.16,23.0,500.0,2.0,59.68656021052674
215,8.1,7.15,99.3,0.02,30.0,110.0,3.0,61.14339740294842
216,5.9,6.67,51.3,0.19,220.0,1300.0,3.0,67.87210856470534
217,7.2,7.01,73.5,0.16,80.0,3000.0,2.0,55.946797424134694
218,5.9,7.27,51.3,0.19,220.0,1300.0,3.0,78.28636452397403
219,7.2,7.84,73.5,0.16,80.0,3000.0,2.0,70.35318483445639
220,7.2,7.55,74.3,0.16,23.0,500.0,2.0,63.505120728925256
221,8.1,7.79,99.3,0.02,30.0,110.0,3.0,72.25193709283502
222,4.1,6.5,35.9,0.1,500.0,5000.0,2.0,71.73102479031739
223,6.7,7.1,67.9,0.14,80.0,170.0,2.0,59.28469022549688
224,7.1,7.1,79.5,0.13,140.0,1300.0,2.0,58.939681057821204
225,6.4,7.0,87.1,0.16,30.0,40.0,2.0,57.863411583497964
226,4.1,6.5,35.9,0.1,500.0,5000.0,2.0,71.73102479031739
227,6.7,7.1,67.9,0.14,80.0,170.0,2.0,59.28469022549688
228,7.1,7.1,79.5,0.13,140.0,1300.0,2.0,58.939681057821204
229,6.4,7.0,87.1,0.16,30.0,40.0,2.0,57.863411583497964
230,7.0,7.2,52.4,0.31,140.0,350.0,2.0,60.959920000849706
231,5.5,7.2,51.3,0.17,110.0,1300.0,2.0,67.70710577527234
232,7.0,7.0,59.6,0.18,70.0,500.0,2.0,55.95996249358543
233,8.0,7.4,75.8,0.23,21.0,140.0,2.0,56.9368622581886
234,5.5,7.2,51.3,0.17,110.0,1300.0,2.0,67.70710577527234
235,7.0,7.0,59.6,0.18,70.0,500.0,2.0,55.95996249358543
236,8.0,7.4,75.8,0.23,21.0,140.0,2.0,56.9368622581886
237,7.0,7.2,52.4,0.31,140.0,350.0,2.0,60.959920000849706
238,6.3,8.2,77.1,0.27,13.0,240.0,4.0,96.55510593486814
239,6.2,7.5,95.5,0.38,900.0,900.0,2.0,86.97372287360233
240,6.2,8.08,95.5,0.38,900.0,900.0,2.0,97.04083696756207
241,6.1,7.2,71.4,0.11,80.0,800.0,4.0,81.74811160834571
242,6.7,7.3,71.4,0.21,800.0,3000.0,2.0,79.32463235244794
243,7.2,7.2,50.0,0.17,220.0,1300.0,2.0,61.962563530874384
244,7.1,7.1,52.0,0.13,70.0,800.0,2.0,57.27382318348656
245,7.1,7.3,81.7,0.46,90.0,280.0,2.0,61.115407066461174
246,7.2,7.4,67.3,0.04,120.0,220.0,2.0,62.97156705693574
247,7.9,7.4,81.7,0.09,300.0,300.0,2.0,63.61372180730106
248,6.5,7.5,87.7,0.17,240.0,300.0,2.0,70.76699099205992
249,5.9,7.7,68.7,0.11,350.0,13000.0,2.0,82.35908749833698
250,8.1,7.1,64.5,0.32,600.0,2.2,2.0,64.03892052645377
251,7.2,7.3,78.2,0.18,50.0,80.0,2.0,59.67346690329333
252,8.1,8.2,69.4,0.14,80.0,170.0,3.0,80.49463549405385
253,8.1,6.69,64.5,0.32,600.0,2200.0,2.0,57.4088918872499
254,7.2,7.46,76.2,0.18,50.0,80.0,2.0,62.45015921988671
255,6.9,7.19,62.1,0.32,500.0,3.0,2.0,69.1607955956306
256,7.8,7.55,76.9,0.29,50.0,300.0,2.0,61.1866004910017
257,8.3,8.07,90.6,0.16,23.0,240.0,2.0,67.1848508953018
258,6.9,7.47,62.1,0.32,500.0,3000.0,2.0,74.68402661854196
259,7.8,8.15,76.9,0.29,50.0,300.0,2.0,71.60085645027041
260,8.3,7.98,90.6,0.16,23.0,240.0,2.0,65.62271250141151
261,7.1,6.94,52.5,0.26,13000.0,2.3,2.0,340.4791729610586
262,7.5,7.32,73.7,0.24,230.0,300.0,2.0,62.61502954269512
263,7.0,7.47,77.5,0.35,50.0,500.0,2.0,63.697730291034574
264,8.3,7.65,93.8,0.1,80.0,220.0,3.0,69.99814102875855
265,7.0,7.52,77.5,0.35,50.0,500.0,2.0,64.56558495430696
266,8.3,8.04,93.8,0.1,80.0,220.0,3.0,76.76740740228318
267,7.1,7.25,52.5,0.26,1300.0,2300.0,2.0,87.44392084927894
268,7.5,7.91,73.7,0.24,230.0,300.0,2.0,72.85571456930931
269,5.0,6.6,50.6,1.89,1700.0,8000.0,2.0,96.55602953976032
270,7.4,7.1,70.5,0.27,90.0,90.0,2.0,56.1354179977964
271,7.5,7.3,67.8,0.29,110.0,800.0,2.0,59.72706246010104
272,7.1,7.0,84.6,0.36,40.0,90.0,2.0,54.74943007103831
273,5.9,7.3,52.8,0.29,300.0,1.7,2.0,71.44932615836936
274,7.5,7.3,61.5,0.29,30.0,140.0,3.0,66.66130236405846
275,0.5,7.6,74.2,0.24,30.0,70.0,2.0,96.67470206591335
276,8.0,7.6,56.4,0.52,70.0,900.0,2.0,61.68825503635206
277,5.9,7.4,72.0,0.58,800.0,130.0,2.0,84.31451739175156
278,6.7,7.9,65.0,0.66,90.0,350.0,5.0,100.04404163270715
279,5.9,7.69,72.0,0.58,800.0,130.0,2.0,89.34807443873143
280,6.1,7.3,60.7,0.58,1400.0,9000.0,3.0,105.70737163367423
281,7.1,7.1,51.0,1.87,230.0,230.0,2.0,60.878462830944706
282,7.1,7.1,51.0,0.25,80.0,700.0,2.0,57.48588877401344
283,6.3,7.2,63.7,0.27,110.0,13000.0,4.0,84.1655112229959
284,7.1,7.3,80.2,0.66,80.0,300.0,5.0,87.4764080082442
285,7.6,7.4,87.3,0.21,170.0,280.0,3.0,71.04210868768637
286,7.7,7.1,75.3,0.14,1300.0,2400.0,2.0,81.96785853647562
287,6.5,7.6,64.0,0.13,5000.0,5000.0,2.0,178.87340686480024
288,6.9,7.3,61.0,0.1,220.0,900.0,2.0,65.04781607378638
289,7.7,6.9,59.1,0.35,500.0,700.0,3.0,69.28747214829387
290,8.8,8.0,66.0,0.19,50.0,110.0,5.0,90.68732339646732
291,7.1,7.2,66.7,0.24,300.0,1700.0,2.0,64.31394730277479
292,6.0,6.4,46.1,0.02,800.0,2400.0,2.0,66.91175688092754
293,7.7,6.28,59.1,0.35,500.0,700.0,3.0,58.52607432371623
294,7.1,7.26,66.7,0.24,300.0,1700.0,2.0,65.35537289870166
295,6.7,7.1,70.3,0.2,1700.0,2200.0,3.0,104.4442171482771
296,9.4,8.48,95.6,0.35,30.0,240.0,3.0,78.03813269260225
297,7.6,7.41,72.0,0.22,80.0,240.0,3.0,69.21280796961699
298,6.7,7.4,70.3,0.2,1700.0,2200.0,3.0,109.65134512791144
299,7.6,7.96,72.0,0.22,80.0,240.0,3.0,78.75920926561328
300,9.4,8.26,95.6,0.35,30.0,240.0,3.0,74.21957217420373
301,7.0,6.98,53.9,0.32,800.0,5000.0,2.0,72.77783694072987
302,7.4,7.37,69.8,0.19,300.0,800.0,2.0,65.6174222438557
303,7.4,7.1,63.3,0.68,70.0,500.0,2.0,55.82675995824794
304,8.5,7.5,84.5,0.11,23.0,40.0,3.0,65.13016380162827
305,7.0,7.18,53.9,0.32,800.0,5000.0,2.0,76.24925559381943
306,7.4,7.95,69.8,0.19,300.0,800.0,2.0,75.68453633781542
307,7.4,7.27,63.3,0.68,70.0,500.0,2.0,58.77746581337407
308,8.5,7.96,84.5,0.11,23.0,40.0,3.0,73.11442670373427
309,6.6,7.1,65.4,0.59,30.0,800.0,2.0,58.8473149009947
310,5.7,6.6,48.9,0.32,7000.0,160000.0,2.0,243.94502631164843
311,6.8,7.2,61.9,0.55,50.0,140.0,2.0,59.912237497722074
312,6.8,6.9,81.9,0.56,30.0,40.0,2.0,54.24589225870846
313,6.8,7.2,61.9,0.55,50.0,140.0,2.0,59.912237497722074
314,6.6,7.1,65.4,0.59,30.0,800.0,2.0,58.8473149009947
315,6.8,6.9,81.9,0.56,30.0,40.0,2.0,54.24589225870846
316,5.7,6.6,48.9,0.32,7000.0,160000.0,2.0,243.94502631164843
317,6.2,7.3,50.8,0.36,800.0,3000.0,2.0,81.74193305193042
318,8.1,7.3,64.2,0.5,50.0,140.0,2.0,55.38877805364657
319,8.5,7.5,66.6,0.38,50.0,90.0,2.0,56.91217505481041
320,7.6,7.5,65.9,0.59,23.0,60.0,2.0,60.660653166845
321,6.2,7.3,50.8,0.36,800.0,3000.0,2.0,81.74193305193042
322,8.1,7.3,64.2,0.5,50.0,140.0,2.0,55.38877805364657
323,8.5,7.5,66.6,0.38,50.0,90.0,2.0,56.91217505481041
324,7.6,7.5,65.9,0.59,23.0,60.0,2.0,60.660653166845
325,7.4,7.1,62.9,0.29,60.0,280.0,2.0,55.51406054453197
326,7.6,7.5,78.1,0.49,2.0,2.0,2.0,60.17485277984609
327,6.0,7.1,63.8,0.39,3000.0,5000.0,2.0,128.36810907884984
328,6.1,7.2,53.1,0.26,3000.0,5000.0,2.0,129.60615001573598
329,6.4,7.2,59.3,0.17,800.0,2800.0,2.0,78.98089329426452
330,6.4,7.2,24.2,0.1,500.0,900.0,2.0,71.9059118245687
331,5.7,7.3,27.3,0.21,230.0,3000.0,2.0,71.5115388216127
332,6.4,7.23,24.2,0.1,500.0,900.0,2.0,72.42662462253215
333,6.2,7.0,33.1,0.22,500.0,5000.0,4.0,88.02334088897946
334,6.5,7.1,25.5,0.17,1400.0,5000.0,2.0,90.5216533965959
335,7.0,6.8,56.2,0.06,30000.0,30000.0,2.0,721.3628106961619
336,7.3,6.8,50.9,0.06,1700.0,8000.0,2.0,88.76237534127232
337,5.7,6.8,27.0,0.25,1300.0,1700.0,2.0,86.22901788060108
338,5.7,8.0,25.0,0.08,140.0,3000.0,2.0,81.6550615561906
339,6.7,7.2,22.9,0.03,800.0,1100.0,2.0,77.13804287663217
340,7.8,6.8,40.9,0.14,30.0,220.0,2.0,47.68411071240107
341,7.4,6.8,33.5,0.09,350.0,3000.0,2.0,57.29829840742381
342,7.2,6.2,14.3,0.02,24000.0,24000.0,2.0,575.8631429202904
343,8.2,6.7,22.1,0.15,1700.0,5000.0,2.0,82.03637924536055
344,7.2,7.3,26.5,0.09,220.0,220.0,2.0,63.445322231920954
345,7.7,6.4,27.0,0.1,500.0,1100.0,2.0,51.810903950988724
346,7.2,7.19,26.5,0.09,220.0,220.0,2.0,61.536041972721705
347,8.2,7.31,22.1,0.15,1700.0,5000.0,2.0,92.62420613728371
348,7.1,6.35,22.2,0.11,1700.0,5000.0,2.0,81.2490741220553
349,7.9,6.67,24.1,0.15,500.0,1100.0,2.0,55.53995493234927
350,8.5,7.01,26.7,0.13,500.0,2400.0,2.0,58.84089006741037
351,7.1,7.24,22.2,0.11,1700.0,5000.0,2.0,96.69688712830386
352,7.9,8.07,24.1,0.15,500.0,1100.0,2.0,79.8398855039762
353,8.5,7.57,26.7,0.13,500.0,2400.0,2.0,68.56086229606116
354,6.6,6.9,20.2,0.13,1700.0,17000.0,2.0,95.85832051955008
355,7.8,6.87,24.9,0.08,1100.0,3000.0,2.0,73.18364592801476
356,7.4,6.87,22.0,0.14,2200.0,2800.0,2.0,99.41299737435534
357,7.9,6.26,29.7,0.2,1700.0,1700.0,2.0,75.11938471969272
